TABLE_NAME,TABLE_TEXT
UUGOREP,Formwork System Physical file
UUGPREP,Owner Contact Physical file
UUGQREP,Owner Address Physical file
UUGRCPP,Bid Project O/A/E Physical file
UUGSCPP,Owner Contact Comment Physical file
UUGTREP,Owner Contact Type Physical file
UUGUCPP,P&L Ctrl Incm Ptnr Ln Physical file
UUGVCPP,P&L Ctrl Incm Ptnr Ln Wd Physical file
UUGWREP,Architect Address Physical file
UUGXREP,Architect Contact Physical file
UUGYCPP,Architect Contact Comment Physical file
UUGZREP,Marketing Extension Physical file
UUG0CPP,Questionnaire Physical file
UUG1CPP,Project Comment Physical file
UUG2REP,Consultant Physical file
UUG3REP,SIC Area Physical file
UUG4REP,Consultant Project Physical file
UUG5REP,Consultant Contact Physical file
UUG6REP,Consultant Address Physical file
UUG7CPP,Budget Partner Physical file
UUG8CPP,Budget Period Bal Ptnr Physical file
UUG9CPP,Budget Std Desc Ptnr Physical file
UUHACPP,Budget Change Order Ptnr Physical file
UUHBCPP,Budget PR O/H Actual Ptnr Physical file
UUHCCPP,Fiscal Calendar Ptnr Physical file
UUHEREP,Estimating Vendor Contact Physical file
UUHFREP,Project Monthly Changes Physical file
UUHGCPP,Fixed Asset AP Inv Physical file
UUHHREP,Vendor Inactive Physical file
UUHIREP,Estimating Vendor Physical file
UUHJREP,Project Component Physical file
UUHKCPP,AR Invoice Spec Physical file
UUHLCPP,Fixed Asset Cmpnt Physical file
UUHMCPP,AR Billing Group Physical file
UUHNREP,AR Billing Sect Physical file
UUHOREP,AR Default Sect Physical file
UUHPREP,AR Default Sect Spec Physical file
UUHQCPP,AR Invoice Sect Physical file
UUHRREP,AR Billing Sect Desc Physical file
UUHSREP,AR Billing Spec Desc Physical file
UUHTCPP,AR Invoice Sect Desc Physical file
UUHUCPP,AR Invoice Spec Desc Physical file
UUHVREP,AR Billing Group Invoice Physical file
UUHWREP,AR Area Address Ovrd Physical file
UUHXCPP,AR Invoice Proj Component Physical file
UUHYCPP,AP Invoice SC CPOC Physical file
UUHZCPP,Time Sheets Notes Entry Physical file
UUH0CPP,Employee Master Notes Physical file
UUH3REP,Payroll Benefit Life Physical file
UUH4CPP,Fixed Asset Nxt Yr Depr Physical file
UUH6REP,Payroll Ben AB HC Empr Physical file
UUH7CPP,Employee Salary Change G3 Physical file
UUH8CPP,Emp Life/LTD Salary Physical file
UUH9REP,Company Comment Physical file
UUIACPP,CIBC CashFlow Dwnld Physical file
UUIBCPP,CIBC CashFlow Physical file
UUICCPP,CIBC CashFlow Trans Physical file
UUIDCPP,Employee Bonus Physical file
UUIEREP,CIBC CF Trans Offset Physical file
UUIFCPP,AR Invoice Notes Physical file
UUIGCPP,Payroll US ADP Physical file
UUIHCPP,AR Invoice Trans Notes Physical file
UUIIREP,Cashed Cheques from Bank Physical file
UUIJCPP,Payroll US ADP DSJ Physical file
UUIKCPP,Payroll US ADP GL Trans Physical file
UUILREP,Sub-Area Address Physical file
UUINREP,Employee Approval Auth Physical file
UUIOCPP,AP Purchase Card CIBC Physical file
UUIQCPP,AP Inv Pymnt Physical file
UUIRCPP,AP Sub Invoice Physical file
UUISCPP,AP Sub Invoice CPOC Physical file
UUITCPP,AP Inv Pymnt Dist GST Physical file
UUIVREP,Payroll Cheque Message Physical file
UUIWCPP,Cashed Cheques USA Physical file
UUIYCPP,AR Billing Spec SC/CPOC Physical file
UUIZCPP,AR SIC Spec SC/CPOC Physical file
UUI2CPP,AP Inv Pymnt Dist Physical file
UUI6REP,Sub-Contract Remit To Physical file
UUI8REP,Project County Physical file
UUI9CPP,Equip Utilization Output Physical file
UUJACPP,PR WCB Asesbl Earn Physical file
UUJBCPP,PR WCB Mthly Asesbl Earn Physical file
UUJCREP,PR WCB Asesbl Max Earn Physical file
UUJDCPP,Time Sheets Calc V/P Physical file
UUJECPP,Time Sheets Calc Bnft Physical file
UUJFREP,Bonding Area Physical file
UUJGCPP,SC Pymnt Trkg Physical file
UUJHREP,Bonding Spreadsheet Physical file
UUJICPP,PR WCB Rate Element Physical file
UUJJCPP,AP Invoice SC Cnvrsn Physical file
UUJKREP,Bonding Comment Physical file
UUJLCPP,AR Invoice Spec DwnLd Physical file
UUJMREP,SIC Local Call Area Physical file
UUJNREP,Eq Category/AP Desc Xref Physical file
UUJOCPP,Bonding Spreadsheet HST Physical file
UUJPREP,AP Pay Trade Prj Ovrd Physical file
UUJQCPP,AP Pay Trade Auth Inv Physical file
UUJRREP,Payroll Code Class Physical file
UUJSREP,Payroll Alternate Class Physical file
UUJTCPP,AP Invoice TR Physical file
UUJUCPP,Material Detail TR Physical file
UUJVCPP,Purchase Orders TR Physical file
UUJWCPP,Purchase Orders TR Detail Physical file
UUJXCPP,PR WCB Report Work Physical file
UUJYREP,GJC A/P Inv Dtl Physical file
UUJZREP,AP Pay Trade Prj Ovrd Usr Physical file
UUJ0REP,Project EB Int Chrg Tr YE Physical file
UUJ2CPP,Project Misc GST File Physical file
